m	314	201	1	1	0	0	90s	100	1	8022
m	301	233	1	1	0	0	90s	100	1	8022
m	316	258	1	1	0	0	90s	100	1	8022
m	358	255	1	1	0	0	90s	100	1	8022
m	330	231	1	1	0	0	90s	100	1	8022
m	723	1233	1	1	0	0	90s	100	1	8020
m	775	1230	1	1	0	0	90s	100	1	8020
m	701	1203	1	1	0	0	90s	100	1	8020
m	749	1189	1	1	0	0	90s	100	1	8020
m	802	1209	1	1	0	0	90s	100	1	8020
m	1195	278	1	1	0	0	90s	100	1	8021
m	1235	310	1	1	0	0	90s	100	1	8021
m	1225	335	1	1	0	0	90s	100	1	8021
m	1201	311	1	1	0	0	90s	100	1	8021
m	1188	286	1	1	0	0	90s	100	1	8021
